symbol,name,reportDate,fiscalDateEnding,estimate,currency
ADMP,ADMP,2023-11-13,2023-09-30,,USD
ADMT,ADMT,2023-11-20,2023-09-30,,USD
ADN,Advent Technologies Holdings Inc - Class A,2023-11-13,2023-09-30,-0.15,USD
ADNT,Adient plc,2023-11-01,2023-09-30,0.51,USD
ADOCY,ADOCY,2023-10-25,2023-09-30,3.46,EUR
ADOOY,ADOOY,2023-11-01,2023-09-30,0.4918,USD
ADP,Automatic Data Processing Inc,2023-10-24,2023-09-30,2.02,USD
ADPT,Adaptive Biotechnologies Corp,2023-11-01,2023-09-30,-0.33,USD
ADRNY,ADRNY,2023-11-08,2023-09-30,0.7108,EUR
ADRZY,ADRZY,2023-11-02,2023-09-30,0.2671,EUR
ADSK,Autodesk Inc,2023-11-20,2023-10-31,1.99,USD
ADT,ADT Inc,2023-11-01,2023-09-30,0.05,USD
ADTH,AdTheorent Holding Company Inc,2023-11-08,2023-09-30,-0.002,USD
ADTN,ADTRAN Holdings Inc,2023-11-07,2023-09-30,-0.05,USD
ADTX,Aditxt Inc,2023-11-29,2023-09-30,-4,USD
ADUS,Addus HomeCare Corporation,2023-10-30,2023-09-30,1.08,USD
ADV,Advantage Solutions Inc - Class A,2023-11-07,2023-09-30,0.13,USD
ADVM,Adverum Biotechnologies Inc,2023-11-08,2023-09-30,-0.32,USD
ADVZF,ADVZF,2023-11-22,2023-09-30,,USD
ADWPF,ADWPF,2023-11-07,2023-09-30,,CAD
ADXN,Addex Therapeutics Ltd,2023-11-13,2023-09-30,-0.0309,CHF
ADXS,ADXS,2023-12-21,2023-10-31,-1.28,USD
ADYEY,ADYEY,2023-11-29,2023-09-30,0,EUR
ADYX,ADYX,2023-11-16,2023-09-30,0,USD
AE,Adams Resources & Energy Inc,2023-11-08,2023-09-30,0.15,USD
AEBZY,AEBZY,2023-11-07,2023-09-30,0.0373,TRY
AEE,Ameren Corp,2023-11-01,2023-09-30,1.83,USD
AEG,Aegon N. V.,2023-11-16,2023-09-30,-0.477,USD
AEGXF,AEGXF,2023-10-25,2023-09-30,,CAD
AEHR,Aehr Test Systems,2023-10-04,2023-08-31,0.16,USD
AEIS,Advanced Energy Industries Inc,2023-10-30,2023-09-30,1.14,USD
AEL,American Equity Investment Life Holding Company,2023-11-06,2023-09-30,1.7,USD
AEM,Agnico Eagle Mines Ltd,2023-10-25,2023-09-30,0.48,USD
AEMD,Aethlon Medical Inc,2023-11-13,2023-09-30,-0.14,USD
AEMMY,AEMMY,2023-11-14,2023-09-30,0,EUR
AEP,American Electric Power Company Inc,2023-10-25,2023-09-30,1.78,USD
AER,Aercap Holdings N.V.,2023-11-01,2023-09-30,2.35,USD
AERG,AERG,2023-11-14,2023-09-30,0,USD
AES,AES Corp,2023-11-02,2023-09-30,0.42,USD
AESI,Atlas Energy Solutions Inc - Class A,2023-11-29,2023-09-30,0.66,USD
AETUF,AETUF,2023-11-01,2023-09-30,0.4063,CAD
AEVA,Aeva Technologies Inc,2023-11-06,2023-09-30,-0.15,USD
AEXAY,AEXAY,2023-10-26,2023-09-30,0,EUR
AEY,Addvantage Technologies Group,2023-11-13,2023-09-30,,USD
AEYE,AudioEye Inc,2023-11-08,2023-09-30,-0.15,USD
AEZS,Aeterna Zentaris Inc,2023-11-01,2023-09-30,-0.61,USD
AFBI,Affinity Bancshares Inc,2023-10-24,2023-09-30,,USD
AFCG,AFC Gamma Inc,2023-11-06,2023-09-30,0.49,USD
AFFCF,AFFCF,2023-11-23,2023-09-30,0,CAD
AFFY,AFFY,2023-11-08,2023-09-30,0,USD
AFG,American Financial Group Inc,2023-10-31,2023-09-30,2.51,USD
AFGVY,AFGVY,2023-11-15,2023-09-30,0,EUR
AFIB,Acutus Medical Inc,2023-11-08,2023-09-30,-0.61,USD
AFL,Aflac Inc,2023-11-01,2023-09-30,1.46,USD
AFLYY,AFLYY,2023-10-27,2023-09-30,0.405,EUR
AFMD,Affimed N.V.,2023-11-13,2023-09-30,-0.2,EUR
AFRM,Affirm Holdings Inc - Class A,2023-11-06,2023-09-30,-0.72,USD
AFYA,Afya Ltd - Class A,2023-11-21,2023-09-30,0.28,BRL
AG,First Majestic Silver Corporation,2023-11-07,2023-09-30,0.03,USD
AGAE,Allied Gaming & Entertainment Inc,2023-11-14,2023-09-30,,USD
AGBA,AGBA Group Holding Ltd,2023-11-15,2023-09-30,,USD
AGCCF,AGCCF,2023-11-27,2023-09-30,,CAD
AGCO,AGCO Corp,2023-10-30,2023-09-30,3.31,USD
AGE,AgeX Therapeutics Inc,2023-11-13,2023-09-30,,USD
AGEN,Agenus Inc,2023-11-06,2023-09-30,-0.19,USD
AGESY,AGESY,2023-11-08,2023-09-30,1.43,EUR
AGFMF,AGFMF,2023-09-27,2023-08-31,,CAD
AGFY,Agrify Corp,2023-11-07,2023-09-30,,USD
AGGFF,AGGFF,2023-11-20,2023-09-30,,USD
AGGHF,AGGHF,2023-11-29,2023-09-30,0,USD
AGGZF,AGGZF,2023-11-06,2023-09-30,,CAD
AGI,Alamos Gold Inc - Class A,2023-10-24,2023-09-30,0.13,USD
AGIL,AgileThought Inc - Class A,2023-11-10,2023-09-30,-0.11,USD
AGIO,Agios Pharmaceuticals Inc,2023-10-18,2023-09-30,-1.7,USD
AGL,Agilon Health Inc,2023-11-01,2023-09-30,-0.05,USD
AGLE,Aeglea BioTherapeutics Inc,2023-11-01,2023-09-30,-0.84,USD
AGM,Federal Agricultural Mortgage Corp - Class C,2023-11-06,2023-09-30,4,USD
AGM-A,Federal Agricultural Mortgage Corp - Class A,2023-11-06,2023-09-30,4.05,USD
AGMJF,AGMJF,2023-11-06,2023-09-30,,CAD
AGNC,AGNC Investment Corp,2023-10-23,2023-09-30,0.62,USD
AGO,Assured Guaranty Ltd,2023-11-06,2023-09-30,1.01,USD
AGPYY,AGPYY,2023-11-29,2023-09-30,0,CNY
AGR,Avangrid Inc,2023-10-24,2023-09-30,0.44,USD
AGRI,AgriFORCE Growing Systems Ltd,2023-11-10,2023-09-30,-0.02,USD
AGRO,Adecoagro S.A.,2023-11-13,2023-09-30,,USD
AGRPY,AGRPY,2023-11-29,2023-09-30,0,ZAR
AGRX,Agile Therapeutics Inc,2023-11-06,2023-09-30,-6,USD
AGS,PlayAGS Inc,2023-11-06,2023-09-30,-0.0054,USD
AGSS,AGSS,2023-11-06,2023-09-30,,USD
AGSVF,AGSVF,2023-10-10,2023-09-30,,USD
AGTI,Agiliti Inc,2023-11-08,2023-09-30,0.09,USD
AGTX,AGTX,2023-11-14,2023-08-31,,USD
AGX,Argan Inc,2023-12-05,2023-10-31,0.88,USD
AGXPF,AGXPF,2023-11-27,2023-08-31,0.01,USD
AGYS,Agilysys Inc,2023-10-23,2023-09-30,0.19,USD
AHCHY,AHCHY,2023-10-25,2023-09-30,0.4507,CNY
AHCO,AdaptHealth Corp,2023-11-06,2023-09-30,0.19,USD
